,Your research question.,Which fine-grained sub-domain or sub-discipline in Ecology would you say is the context to your research question?,What is the purpose of your question?,Do you think this question is answerable from publications alone?,"If not, which other data sources would you consider?",Does the synthesis paragraph make sense for its content? ,Is the synthesis paragraph helpful to you? ,Are the list of top 10 papers returned relevant to your research question?,"List between 1 to 10 publication(s) that you think best addresses your question and which did not show up in the ASK results. Feel free to use the Google Scholar or Web Science search engines. Please add the publication DOIs as far as possible. (If you do not have papers to add, please write simply N/A.)","Given that you may have thought about this question before, if possible, what would be the summary answer you expect to your question? Your answer can include a maximum of 4 sentences. Feel free to skip this question if it is too tedious. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,What is the effect of management extensification on grasslands plant diversity?,"grassland ecology, biodiversity research, restoration ecology",Explore the range of existing hypotheses in the literature on a given question,Maybe,New experiments,4,3,1,N/A,"Management extensification affects grassland biodiversity. The direction of this effect depends on the grasslands ' resource availability. According to the intermediate disturbance and stress hypothesis, medium levels of management should support the highest biodiversity levels, as both competition for nutrients and light are in their best balance. So highly fertilized and cut grasslands should improve in their biodiversity die to extensification, while in abandoned grasslands increasing management to intermediate levels should be Most beneficial. Nutrient retention in soils however can lead to slow effects of extensification on highly managed and thus cut and fertilized grasslands. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,What is the best way to manage a 1 hectare stand of Phragmites Australis in a near-urban area?,Restoration ecology - invasive species management,Collecting evidence for/against a hypothesis,Yes,,2,4,2,https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.5820,"Phragmites Australis can be managed through cutting (i.e. mowing), spading, herbicide or animal grazing. Each technique has trade-offs and benefits. In a near-urban area, mowing or spading are the best categories of removal technique. Animal grazing may also be possible.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,How does mowing maintain grasslands?,Restoration,Understanding,Maybe,Textbooks,2,1,2,Unknown (I'm not an ecologist),Unknown (I'm not an ecologist),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,How can we weave traditional ecological knowledge and scientific knowledge in conservation and wildlife management project ?,Ecological conservation ,Idea generation,Maybe,Grey literature about ,2,3,3,"Principles for knowledge co-production in sustainability research
AV Norstr”m, C Cvitanovic, MF L”f, S West, C Wyborn, P Balvanera, ...
Nature sustainability 3 (3), 182-190

Weaving knowledge systems in IPBES, CBD and beyond?lessons learned for sustainability
M Teng”, R Hill, P Malmer, CM Raymond, M Spierenburg, F Danielsen, ...
Current opinion in environmental sustainability 26, 17-25

Connecting diverse knowledge systems for enhanced ecosystem governance: the multiple evidence base approach
M Teng”, ES Brondizio, T Elmqvist, P Malmer, M Spierenburg
Ambio 43, 579-591

Interweaving local, expert, and Indigenous knowledge into quantitative wildlife analyses: A systematic review
ER Stern, MM Humphries
Biological Conservation 266, 109444

Henri, Dominique & Provencher, Jennifer & Bowles, Ella & Taylor, Jessica & Steel, Jade & Chelick, Carmen & Popp, Jesse & Cooke, Steven & Rytwinski, Trina & McGregor, Deborah & Ford, Adam & Alexander, Steven. (2021). Weaving Indigenous knowledge systems and Western sciences in terrestrial research, monitoring and management in Canada: A protocol for a systematic map. Ecological Solutions and Evidence. 2. 10.1002/2688-8319.12057. 


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,What determines the invasive potential of Phyllostachis bambusoides?,Invasion biology,Explore the range of existing hypotheses in the literature on a given question,Yes,,3,3,3,"Spake et al. (2021) Applying the stress-gradient hypothesis to curb the spread of invasive bamboo. https://doi.org/10.1111/1365-2664.13945
Zhang (2023) Bamboo Expansion Into Adjacent Ecosystems. https://doi.org/10.1007/978-981-99-4113-1_2
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,How does climate change impact pollinator diversity and community composition in tropical mountains?,mountain ecology/ community ecology/ tropical ecology etc.,Explore the range of existing hypotheses in the literature on a given question,No,field studies; modelling; lab work,3,2,3,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,What is a realistic pesticide range for an experiment with pesticide impacts on bees?,Ecology,Explore the range of existing hypotheses in the literature on a given question,Yes,,2,3,3,"Most, the first 4 papers are repetitions. Eg: https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.12689",I would prefer a paragraph with doses that have been tested in papers. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Is there evidence that climate change and land use interact to alter biodiversity of grasslands?,"plant ecology, global change ecology",Collecting evidence for/against a hypothesis,Yes,,2,2,3,"https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2745.12236
https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.14046
https://wires.onlinelibrary.wiley.com/doi/full/10.1002/wcc.271
https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.17418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,What is the best way to restore a degraded peat land?,restoration ecology,practical advice,Yes,,2,2,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,How does the presence of an alien plant species change the interactions between organisms in the pre-existing plant community?,vegetation ecology,Explore the range of existing hypotheses in the literature on a given question,Maybe,,1,1,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
