report_stem,config,depth,breadth,rigor,innovation,gap,overall,report_path
10_o3_orkg_d1_b1,d1_b1,0.93,0.88,0.62,0.74,0.78,0.79,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/10_o3_orkg_d1_b1.md
10_o3_orkg_d1_b4,d1_b4,0.77,0.82,0.67,0.86,0.8,0.784,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/10_o3_orkg_d1_b4.md
10_o3_orkg_d4_b1,d4_b1,0.76,0.93,0.63,0.92,0.83,0.814,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/10_o3_orkg_d4_b1.md
10_o3_orkg_d4_b4,d4_b4,0.83,0.93,0.66,0.92,0.78,0.824,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/10_o3_orkg_d4_b4.md
11_o3_orkg_d1_b1,d1_b1,0.92,0.86,0.63,0.86,0.92,0.838,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/11_o3_orkg_d1_b1.md
11_o3_orkg_d1_b4,d1_b4,0.68,0.87,0.62,0.91,0.93,0.802,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/11_o3_orkg_d1_b4.md
11_o3_orkg_d4_b1,d4_b1,0.78,0.83,0.63,0.92,0.82,0.796,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/11_o3_orkg_d4_b1.md
11_o3_orkg_d4_b4,d4_b4,0.76,0.91,0.86,0.92,0.76,0.842,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/11_o3_orkg_d4_b4.md
12_o3_orkg_d1_b1,d1_b1,0.92,0.86,0.78,0.92,0.68,0.832,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/12_o3_orkg_d1_b1.md
12_o3_orkg_d1_b4,d1_b4,0.72,0.82,0.64,0.78,0.82,0.756,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/12_o3_orkg_d1_b4.md
