report_stem,config,depth,breadth,rigor,innovation,gap,overall,report_path
10_o3_orkg_d1_b1,d1_b1,0.91,0.88,0.82,0.92,0.92,0.89,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/10_o3_orkg_d1_b1.md
10_o3_orkg_d1_b4,d1_b4,0.78,0.84,0.72,0.93,0.94,0.842,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/10_o3_orkg_d1_b4.md
10_o3_orkg_d4_b1,d4_b1,0.92,0.92,0.82,0.93,0.94,0.906,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/10_o3_orkg_d4_b1.md
10_o3_orkg_d4_b4,d4_b4,0.68,0.92,0.83,0.92,0.94,0.858,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/10_o3_orkg_d4_b4.md
11_o3_orkg_d1_b1,d1_b1,0.74,0.77,0.78,0.92,0.89,0.82,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/11_o3_orkg_d1_b1.md
11_o3_orkg_d1_b4,d1_b4,0.66,0.88,0.71,0.92,0.93,0.82,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/11_o3_orkg_d1_b4.md
11_o3_orkg_d4_b1,d4_b1,0.72,0.68,0.6,0.92,0.91,0.766,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/11_o3_orkg_d4_b1.md
11_o3_orkg_d4_b4,d4_b4,0.82,0.88,0.68,0.78,0.94,0.82,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/11_o3_orkg_d4_b4.md
12_o3_orkg_d1_b1,d1_b1,0.78,0.78,0.92,0.92,0.92,0.864,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/12_o3_orkg_d1_b1.md
12_o3_orkg_d1_b4,d1_b4,0.74,0.77,0.78,0.87,0.92,0.816,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/12_o3_orkg_d1_b4.md
12_o3_orkg_d4_b1,d4_b1,0.72,0.78,0.73,0.92,0.92,0.814,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/12_o3_orkg_d4_b1.md
12_o3_orkg_d4_b4,d4_b4,0.77,0.82,0.66,0.93,0.92,0.82,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/12_o3_orkg_d4_b4.md
13_o3_orkg_d1_b1,d1_b1,0.74,0.92,0.68,0.87,0.92,0.826,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/13_o3_orkg_d1_b1.md
13_o3_orkg_d1_b4,d1_b4,0.92,0.87,0.72,0.92,0.96,0.878,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/13_o3_orkg_d1_b4.md
13_o3_orkg_d4_b1,d4_b1,0.67,0.88,0.62,0.78,0.93,0.776,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/13_o3_orkg_d4_b1.md
13_o3_orkg_d4_b4,d4_b4,0.68,0.95,0.67,0.77,0.93,0.8,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/13_o3_orkg_d4_b4.md
14_o3_orkg_d1_b1,d1_b1,0.72,0.94,0.63,0.92,0.88,0.818,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/14_o3_orkg_d1_b1.md
14_o3_orkg_d1_b4,d1_b4,0.63,0.92,0.62,0.78,0.94,0.778,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/14_o3_orkg_d1_b4.md
14_o3_orkg_d4_b1,d4_b1,0.86,0.83,0.72,0.72,0.93,0.812,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/14_o3_orkg_d4_b1.md
14_o3_orkg_d4_b4,d4_b4,0.68,0.88,0.68,0.84,0.73,0.762,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/14_o3_orkg_d4_b4.md
15_o3_orkg_d1_b1,d1_b1,0.88,0.87,0.72,0.92,0.94,0.866,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/15_o3_orkg_d1_b1.md
15_o3_orkg_d1_b4,d1_b4,0.82,0.76,0.62,0.86,0.92,0.796,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/15_o3_orkg_d1_b4.md
15_o3_orkg_d4_b1,d4_b1,0.92,0.93,0.66,0.91,0.93,0.87,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/15_o3_orkg_d4_b1.md
15_o3_orkg_d4_b4,d4_b4,0.78,0.88,0.62,0.91,0.92,0.822,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/15_o3_orkg_d4_b4.md
16_o3_orkg_d1_b1,d1_b1,0.83,0.94,0.74,0.92,0.88,0.862,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/16_o3_orkg_d1_b1.md
16_o3_orkg_d1_b4,d1_b4,0.86,0.82,0.76,0.92,0.94,0.86,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/16_o3_orkg_d1_b4.md
16_o3_orkg_d4_b1,d4_b1,0.78,0.83,0.69,0.93,0.96,0.838,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/16_o3_orkg_d4_b1.md
16_o3_orkg_d4_b4,d4_b4,0.67,0.86,0.63,0.83,0.87,0.772,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/16_o3_orkg_d4_b4.md
