report_stem,config,depth,breadth,rigor,innovation,gap,overall,report_path
10_o3-mini_orkg_d1_b1,d1_b1,0.69,0.71,0.43,0.57,0.72,0.624,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d1_b1.md
10_o3-mini_orkg_d1_b4,d1_b4,0.78,0.83,0.37,0.62,0.68,0.656,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d1_b4.md
10_o3-mini_orkg_d4_b1,d4_b1,0.71,0.83,0.38,0.69,0.71,0.664,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d4_b1.md
10_o3-mini_orkg_d4_b4,d4_b4,0.68,0.92,0.46,0.69,0.67,0.684,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d4_b4.md
11_o3-mini_orkg_d1_b1,d1_b1,0.57,0.76,0.46,0.61,0.79,0.638,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d1_b1.md
11_o3-mini_orkg_d1_b4,d1_b4,0.74,0.77,0.67,0.63,0.84,0.73,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d1_b4.md
11_o3-mini_orkg_d4_b1,d4_b1,0.87,0.92,0.69,0.67,0.91,0.812,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d4_b1.md
11_o3-mini_orkg_d4_b4,d4_b4,0.73,0.93,0.62,0.71,0.88,0.774,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d4_b4.md
12_o3-mini_orkg_d1_b1,d1_b1,0.64,0.72,0.41,0.63,0.58,0.596,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d1_b1.md
12_o3-mini_orkg_d1_b4,d1_b4,0.64,0.87,0.56,0.51,0.62,0.64,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d1_b4.md
12_o3-mini_orkg_d4_b1,d4_b1,0.78,0.83,0.56,0.61,0.69,0.694,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d4_b1.md
12_o3-mini_orkg_d4_b4,d4_b4,0.88,0.92,0.59,0.63,0.71,0.746,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d4_b4.md
13_o3-mini_orkg_d1_b1,d1_b1,0.67,0.69,0.29,0.58,0.67,0.58,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/13_o3-mini_orkg_d1_b1.md
13_o3-mini_orkg_d1_b4,d1_b4,0.59,0.62,0.31,0.52,0.67,0.542,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/13_o3-mini_orkg_d1_b4.md
13_o3-mini_orkg_d4_b1,d4_b1,0.66,0.89,0.67,0.61,0.89,0.744,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/13_o3-mini_orkg_d4_b1.md
13_o3-mini_orkg_d4_b4,d4_b4,0.67,0.91,0.57,0.82,0.66,0.726,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/13_o3-mini_orkg_d4_b4.md
14_o3-mini_orkg_d1_b1,d1_b1,0.43,0.72,0.56,0.79,0.76,0.652,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/14_o3-mini_orkg_d1_b1.md
14_o3-mini_orkg_d1_b4,d1_b4,0.56,0.78,0.64,0.63,0.63,0.648,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/14_o3-mini_orkg_d1_b4.md
14_o3-mini_orkg_d4_b1,d4_b1,0.49,0.81,0.59,0.79,0.64,0.664,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/14_o3-mini_orkg_d4_b1.md
14_o3-mini_orkg_d4_b4,d4_b4,0.66,0.84,0.76,0.77,0.48,0.702,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/14_o3-mini_orkg_d4_b4.md
15_o3-mini_orkg_d1_b1,d1_b1,0.68,0.66,0.47,0.69,0.62,0.624,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/15_o3-mini_orkg_d1_b1.md
15_o3-mini_orkg_d1_b4,d1_b4,0.64,0.79,0.31,0.53,0.5,0.554,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/15_o3-mini_orkg_d1_b4.md
15_o3-mini_orkg_d4_b1,d4_b1,0.73,0.74,0.43,0.68,0.69,0.654,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/15_o3-mini_orkg_d4_b1.md
15_o3-mini_orkg_d4_b4,d4_b4,0.76,0.94,0.59,0.61,0.83,0.746,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/15_o3-mini_orkg_d4_b4.md
16_o3-mini_orkg_d1_b1,d1_b1,0.66,0.86,0.46,0.58,0.63,0.638,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/16_o3-mini_orkg_d1_b1.md
16_o3-mini_orkg_d1_b4,d1_b4,0.67,0.83,0.53,0.78,0.89,0.74,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/16_o3-mini_orkg_d1_b4.md
16_o3-mini_orkg_d4_b1,d4_b1,0.64,0.87,0.53,0.66,0.87,0.714,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/16_o3-mini_orkg_d4_b1.md
16_o3-mini_orkg_d4_b4,d4_b4,0.66,0.94,0.67,0.62,0.91,0.76,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/16_o3-mini_orkg_d4_b4.md
17_o3-mini_orkg_d1_b1,d1_b1,0.79,0.61,0.49,0.58,0.67,0.628,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/17_o3-mini_orkg_d1_b1.md
17_o3-mini_orkg_d1_b4,d1_b4,0.86,0.87,0.67,0.63,0.79,0.764,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/17_o3-mini_orkg_d1_b4.md
17_o3-mini_orkg_d4_b1,d4_b1,0.87,0.93,0.73,0.74,0.79,0.812,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/17_o3-mini_orkg_d4_b1.md
17_o3-mini_orkg_d4_b4,d4_b4,0.83,0.89,0.43,0.68,0.68,0.702,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/17_o3-mini_orkg_d4_b4.md
18_o3-mini_orkg_d1_b1,d1_b1,0.28,0.68,0.59,0.64,0.89,0.616,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/18_o3-mini_orkg_d1_b1.md
18_o3-mini_orkg_d1_b4,d1_b4,0.48,0.72,0.67,0.62,0.77,0.652,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/18_o3-mini_orkg_d1_b4.md
18_o3-mini_orkg_d4_b1,d4_b1,0.62,0.81,0.49,0.69,0.56,0.634,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/18_o3-mini_orkg_d4_b1.md
18_o3-mini_orkg_d4_b4,d4_b4,0.53,0.91,0.84,0.67,0.61,0.712,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/18_o3-mini_orkg_d4_b4.md
19_o3-mini_orkg_d1_b1,d1_b1,0.77,0.63,0.43,0.82,0.67,0.664,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/19_o3-mini_orkg_d1_b1.md
19_o3-mini_orkg_d1_b4,d1_b4,0.79,0.88,0.47,0.78,0.71,0.726,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/19_o3-mini_orkg_d1_b4.md
19_o3-mini_orkg_d4_b1,d4_b1,0.79,0.74,0.44,0.74,0.77,0.696,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/19_o3-mini_orkg_d4_b1.md
19_o3-mini_orkg_d4_b4,d4_b4,0.77,0.92,0.58,0.74,0.62,0.726,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/19_o3-mini_orkg_d4_b4.md
1_o3-mini_orkg_d1_b1,d1_b1,0.46,0.66,0.59,0.51,0.63,0.57,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/1_o3-mini_orkg_d1_b1.md
1_o3-mini_orkg_d1_b4,d1_b4,0.53,0.83,0.53,0.66,0.86,0.682,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/1_o3-mini_orkg_d1_b4.md
1_o3-mini_orkg_d4_b1,d4_b1,0.64,0.86,0.51,0.69,0.79,0.698,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/1_o3-mini_orkg_d4_b1.md
1_o3-mini_orkg_d4_b4,d4_b4,0.79,0.93,0.57,0.54,0.74,0.714,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/1_o3-mini_orkg_d4_b4.md
20_o3-mini_orkg_d1_b1,d1_b1,0.72,0.84,0.67,0.81,0.79,0.766,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/20_o3-mini_orkg_d1_b1.md
20_o3-mini_orkg_d1_b4,d1_b4,0.78,0.91,0.47,0.68,0.82,0.732,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/20_o3-mini_orkg_d1_b4.md
20_o3-mini_orkg_d4_b1,d4_b1,0.68,0.89,0.56,0.66,0.83,0.724,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/20_o3-mini_orkg_d4_b1.md
