report_stem,config,depth,breadth,rigor,innovation,gap,overall,report_path
10_o3_orkg_d1_b1,d1_b1,0.83,0.89,0.87,0.92,0.96,0.894,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/10_o3_orkg_d1_b1.md
10_o3_orkg_d1_b4,d1_b4,0.82,0.86,0.74,0.96,0.92,0.86,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/10_o3_orkg_d1_b4.md
10_o3_orkg_d4_b1,d4_b1,0.73,0.89,0.67,0.96,0.93,0.836,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/10_o3_orkg_d4_b1.md
10_o3_orkg_d4_b4,d4_b4,0.87,0.94,0.91,0.96,0.96,0.928,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/10_o3_orkg_d4_b4.md
11_o3_orkg_d1_b1,d1_b1,0.83,0.91,0.82,0.94,0.93,0.886,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/11_o3_orkg_d1_b1.md
11_o3_orkg_d1_b4,d1_b4,0.69,0.81,0.73,0.93,0.92,0.816,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/11_o3_orkg_d1_b4.md
11_o3_orkg_d4_b1,d4_b1,0.82,0.81,0.53,0.94,0.89,0.798,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/11_o3_orkg_d4_b1.md
11_o3_orkg_d4_b4,d4_b4,0.83,0.86,0.59,0.93,0.92,0.826,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/11_o3_orkg_d4_b4.md
12_o3_orkg_d1_b1,d1_b1,0.84,0.77,0.83,0.94,0.93,0.862,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/12_o3_orkg_d1_b1.md
12_o3_orkg_d1_b4,d1_b4,0.88,0.79,0.79,0.94,0.91,0.862,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/12_o3_orkg_d1_b4.md
12_o3_orkg_d4_b1,d4_b1,0.74,0.83,0.78,0.94,0.89,0.836,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/12_o3_orkg_d4_b1.md
12_o3_orkg_d4_b4,d4_b4,0.78,0.89,0.73,0.93,0.92,0.85,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/12_o3_orkg_d4_b4.md
13_o3_orkg_d1_b1,d1_b1,0.77,0.87,0.74,0.93,0.95,0.852,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/13_o3_orkg_d1_b1.md
13_o3_orkg_d1_b4,d1_b4,0.91,0.93,0.92,0.93,0.96,0.93,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/13_o3_orkg_d1_b4.md
13_o3_orkg_d4_b1,d4_b1,0.73,0.87,0.71,0.86,0.91,0.816,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/13_o3_orkg_d4_b1.md
