report_stem,config,depth,breadth,rigor,innovation,gap,overall,report_path
10_o3-mini_orkg_d1_b1,d1_b1,0.8,0.78,0.55,0.82,0.68,0.726,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d1_b1.md
10_o3-mini_orkg_d1_b4,d1_b4,0.85,0.92,0.08,0.7,0.88,0.686,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d1_b4.md
10_o3-mini_orkg_d4_b1,d4_b1,0.7,0.93,0.25,0.87,0.92,0.734,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d4_b1.md
10_o3-mini_orkg_d4_b4,d4_b4,0.75,0.95,0.45,0.78,0.72,0.73,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d4_b4.md
11_o3-mini_orkg_d1_b1,d1_b1,0.52,0.55,0.3,0.55,0.83,0.55,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d1_b1.md
11_o3-mini_orkg_d1_b4,d1_b4,0.45,0.6,0.65,0.45,0.92,0.614,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d1_b4.md
11_o3-mini_orkg_d4_b1,d4_b1,0.6,0.95,0.65,0.92,0.92,0.808,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d4_b1.md
11_o3-mini_orkg_d4_b4,d4_b4,0.67,0.94,0.55,0.6,0.82,0.716,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d4_b4.md
12_o3-mini_orkg_d1_b1,d1_b1,0.68,0.45,0.15,0.82,0.7,0.56,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d1_b1.md
12_o3-mini_orkg_d1_b4,d1_b4,0.53,0.93,0.6,0.55,0.8,0.682,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d1_b4.md
12_o3-mini_orkg_d4_b1,d4_b1,0.78,0.82,0.6,0.8,0.3,0.66,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d4_b1.md
12_o3-mini_orkg_d4_b4,d4_b4,0.83,0.85,0.68,0.9,0.52,0.756,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d4_b4.md
13_o3-mini_orkg_d1_b1,d1_b1,0.4,0.65,0.05,0.65,0.45,0.44,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/13_o3-mini_orkg_d1_b1.md
13_o3-mini_orkg_d1_b4,d1_b4,0.45,0.7,0.05,0.67,0.82,0.538,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/13_o3-mini_orkg_d1_b4.md
13_o3-mini_orkg_d4_b1,d4_b1,0.55,0.92,0.72,0.7,0.9,0.758,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/13_o3-mini_orkg_d4_b1.md
13_o3-mini_orkg_d4_b4,d4_b4,0.55,0.93,0.3,0.92,0.8,0.7,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/13_o3-mini_orkg_d4_b4.md
14_o3-mini_orkg_d1_b1,d1_b1,0.2,0.8,0.65,0.6,0.87,0.624,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/14_o3-mini_orkg_d1_b1.md
14_o3-mini_orkg_d1_b4,d1_b4,0.4,0.93,0.65,0.7,0.55,0.646,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/14_o3-mini_orkg_d1_b4.md
14_o3-mini_orkg_d4_b1,d4_b1,0.45,0.75,0.8,0.67,0.65,0.664,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/14_o3-mini_orkg_d4_b1.md
14_o3-mini_orkg_d4_b4,d4_b4,0.45,0.95,0.65,0.68,0.6,0.666,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/14_o3-mini_orkg_d4_b4.md
