report_stem,config,depth,breadth,rigor,innovation,gap,overall,report_path
10_o3_orkg_d1_b1,d1_b1,0.6,0.94,0.75,0.95,0.88,0.824,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/10_o3_orkg_d1_b1.md
10_o3_orkg_d1_b4,d1_b4,0.55,0.92,0.78,0.93,0.85,0.806,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/10_o3_orkg_d1_b4.md
10_o3_orkg_d4_b1,d4_b1,0.75,0.93,0.87,0.95,0.94,0.888,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/10_o3_orkg_d4_b1.md
10_o3_orkg_d4_b4,d4_b4,0.92,0.95,0.95,0.95,0.95,0.944,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/10_o3_orkg_d4_b4.md
11_o3_orkg_d1_b1,d1_b1,0.4,0.92,0.68,0.95,0.93,0.776,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/11_o3_orkg_d1_b1.md
11_o3_orkg_d1_b4,d1_b4,0.45,0.92,0.85,0.75,0.62,0.718,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/11_o3_orkg_d1_b4.md
11_o3_orkg_d4_b1,d4_b1,0.75,0.95,0.55,0.83,0.75,0.766,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/11_o3_orkg_d4_b1.md
11_o3_orkg_d4_b4,d4_b4,0.4,0.77,0.55,0.94,0.87,0.706,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/11_o3_orkg_d4_b4.md
12_o3_orkg_d1_b1,d1_b1,0.8,0.93,0.95,0.93,0.92,0.906,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/12_o3_orkg_d1_b1.md
12_o3_orkg_d1_b4,d1_b4,0.45,0.45,0.93,0.95,0.65,0.686,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/12_o3_orkg_d1_b4.md
12_o3_orkg_d4_b1,d4_b1,0.55,0.68,0.88,0.93,0.82,0.772,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/12_o3_orkg_d4_b1.md
12_o3_orkg_d4_b4,d4_b4,0.43,0.95,0.93,0.95,0.92,0.836,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/12_o3_orkg_d4_b4.md
13_o3_orkg_d1_b1,d1_b1,0.45,0.92,0.85,0.93,0.95,0.82,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/13_o3_orkg_d1_b1.md
13_o3_orkg_d1_b4,d1_b4,0.65,0.93,0.95,0.95,0.8,0.856,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/13_o3_orkg_d1_b4.md
13_o3_orkg_d4_b1,d4_b1,0.15,0.92,0.6,0.92,0.63,0.644,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/13_o3_orkg_d4_b1.md
13_o3_orkg_d4_b4,d4_b4,0.6,0.95,0.65,0.88,0.92,0.8,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/13_o3_orkg_d4_b4.md
14_o3_orkg_d1_b1,d1_b1,0.1,0.93,0.65,0.93,0.92,0.706,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/14_o3_orkg_d1_b1.md
14_o3_orkg_d1_b4,d1_b4,0.2,0.95,0.45,0.7,0.93,0.646,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/14_o3_orkg_d1_b4.md
14_o3_orkg_d4_b1,d4_b1,0.55,0.92,0.65,0.93,0.91,0.792,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/14_o3_orkg_d4_b1.md
14_o3_orkg_d4_b4,d4_b4,0.58,0.95,0.65,0.95,0.87,0.8,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/14_o3_orkg_d4_b4.md
15_o3_orkg_d1_b1,d1_b1,0.75,0.92,0.65,0.93,0.92,0.834,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/15_o3_orkg_d1_b1.md
15_o3_orkg_d1_b4,d1_b4,0.45,0.92,0.58,0.93,0.93,0.762,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/15_o3_orkg_d1_b4.md
15_o3_orkg_d4_b1,d4_b1,0.53,0.93,0.7,0.93,0.95,0.808,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/15_o3_orkg_d4_b1.md
15_o3_orkg_d4_b4,d4_b4,0.35,0.94,0.6,0.95,0.7,0.708,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/15_o3_orkg_d4_b4.md
16_o3_orkg_d1_b1,d1_b1,0.45,0.95,0.95,0.93,0.4,0.736,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/16_o3_orkg_d1_b1.md
16_o3_orkg_d1_b4,d1_b4,0.62,0.93,0.7,0.92,0.93,0.82,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/16_o3_orkg_d1_b4.md
16_o3_orkg_d4_b1,d4_b1,0.15,0.75,0.87,0.93,0.92,0.724,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/16_o3_orkg_d4_b1.md
16_o3_orkg_d4_b4,d4_b4,0.3,0.97,0.82,0.95,0.92,0.792,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/16_o3_orkg_d4_b4.md
17_o3_orkg_d1_b1,d1_b1,0.2,0.95,0.75,0.95,0.8,0.73,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/17_o3_orkg_d1_b1.md
17_o3_orkg_d1_b4,d1_b4,0.15,0.94,0.87,0.93,0.8,0.738,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/17_o3_orkg_d1_b4.md
17_o3_orkg_d4_b1,d4_b1,0.1,0.92,0.5,0.85,0.15,0.504,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/17_o3_orkg_d4_b1.md
17_o3_orkg_d4_b4,d4_b4,0.1,0.95,0.85,0.95,0.93,0.756,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/17_o3_orkg_d4_b4.md
18_o3_orkg_d1_b1,d1_b1,0.55,0.92,0.68,0.93,0.94,0.804,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/18_o3_orkg_d1_b1.md
18_o3_orkg_d1_b4,d1_b4,0.6,0.7,0.57,0.92,0.93,0.744,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/18_o3_orkg_d1_b4.md
